"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","B365H","B365D","B365A","GBH","GBD","GBA","IWH","IWD","IWA","SBH","SBD","SBA","WHH","WHD","WHA","GB.2.5","GB.2.5.1","GBAHH","GBAHA","GBAH","X","X.1","X.2","X.3","X.4","X.5"
"96","SP2","05/10/03","Terrassa","Leganes",0,1,"A",0,0,"D",2.5,2.62,2.87,2.3,2.7,3.1,2.3,2.5,2.9,2.3,2.7,3.1,2.35,2.6,3.05,2.2,1.51,2.04,1.7,-0.25,NA,NA,NA,NA,NA,NA
"97","SP2","05/10/03","Vallecano","Elche",1,2,"A",0,2,"A",1.8,3,4.33,1.83,2.9,4.25,1.8,2.8,3.7,1.8,2.87,4.5,1.8,2.9,4.25,2.1,1.56,1.83,1.88,-0.5,NA,NA,NA,NA,NA,NA
"98","SP2","05/10/03","Xerez","Ciudad de Murcia",2,1,"H",1,0,"H",2,2.75,3.8,2.05,2.7,3.7,2,2.5,3.5,2.1,2.62,3.75,2.1,2.5,3.8,2.3,1.46,1.8,1.9,-0.25,NA,NA,NA,NA,NA,NA
"99","SP2","11/10/03","Eibar","Xerez",0,0,"D",0,0,"D",2.25,2.6,3.4,2.35,2.6,3.1,2.3,2.4,3,2.2,2.75,3.25,2.3,2.65,3.05,NA,NA,1.77,1.95,0,NA,NA,NA,NA,NA,NA
"100","SP2","11/10/03","Leganes","Vallecano",1,1,"D",1,0,"H",2.4,2.75,2.87,2.35,2.6,3.1,2.4,2.4,2.9,2.38,2.7,3,2.3,2.6,3.15,NA,NA,1.77,1.95,0,NA,NA,NA,NA,NA,NA
"101","SP2","11/10/03","Tenerife","Levante",1,1,"D",0,1,"A",2.1,2.75,3.5,2.25,2.65,3.25,2.2,2.4,3.3,2.2,2.75,3.25,2.25,2.6,3.25,NA,NA,1.95,1.77,-0.25,NA,NA,NA,NA,NA,NA
"102","SP2","12/10/03","Alaves","Algeciras",1,1,"D",0,1,"A",1.66,3,5,1.65,3,5.1,1.6,3,4.6,1.67,3.1,5,1.7,2.9,4.9,NA,NA,1.93,1.78,-0.75,NA,NA,NA,NA,NA,NA
"103","SP2","12/10/03","Almeria","Salamanca",0,0,"D",0,0,"D",2.1,2.75,3.5,2.1,2.7,3.5,2.2,2.4,3.3,2,2.7,4,2.1,2.7,3.45,NA,NA,1.82,1.89,-0.25,NA,NA,NA,NA,NA,NA
"104","SP2","12/10/03","Cadiz","Elche",1,1,"D",0,0,"D",1.9,2.7,4.33,2,2.7,3.8,2.1,2.5,3.3,2,2.7,4,2.1,2.75,3.35,NA,NA,2,1.73,-0.5,NA,NA,NA,NA,NA,NA
"105","SP2","12/10/03","Ciudad de Murcia","Poli Ejido",2,2,"D",1,1,"D",2,2.75,3.8,2.05,2.7,3.6,2,2.5,3.6,2,2.8,3.75,2.1,2.7,3.45,NA,NA,1.79,1.92,-0.25,NA,NA,NA,NA,NA,NA
