"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","GBH","GBD","GBA","IWH","IWD","IWA","LBH","LBD","LBA","SBH","SBD","SBA","SYH","SYD","SYA","WHH","WHD","WHA"
"122","I1","16/12/01","Juventus","Piacenza",2,0,"H",1,0,"H",1.25,4.6,10,1.25,4.5,9,1.3,4,9,1.3,4.2,9,1.29,4.33,8.5,1.3,4,9.5
"123","I1","16/12/01","Lecce","Torino",1,1,"D",0,0,"D",1.9,3,3.9,1.9,3,3.6,1.91,2.87,4,1.91,3,3.75,1.91,2.88,4,1.9,2.87,4
"124","I1","16/12/01","Roma","Milan",1,0,"H",1,0,"H",2.03,3,3.45,2,2.9,3.4,2,3,3.4,2.05,2.9,3.5,2,2.88,3.6,2.1,2.75,3.5
"125","I1","16/12/01","Venezia","Udinese",2,1,"H",1,0,"H",2.55,2.95,2.6,2.6,2.8,2.6,2.62,2.87,2.5,2.5,3,2.6,2.6,2.9,2.5,2.37,3.1,2.62
"126","I1","16/12/01","Verona","Lazio",3,1,"H",2,0,"H",3.2,2.95,2.15,3,2.9,2.2,3.2,3,2.1,3.2,2.9,2.15,3.1,2.88,2.2,3.1,2.87,2.2
"127","I1","19/12/01","Atalanta","Milan",1,1,"D",1,0,"H",3,2.95,2.25,3,2.9,2.2,3.2,2.8,2.2,3,2.9,2.25,3.1,2.88,2.2,3,2.8,2.3
"128","I1","19/12/01","Bologna","Udinese",0,1,"A",0,0,"D",1.9,3.05,3.85,1.9,3,3.6,1.8,3.2,4,1.83,3,4.2,1.83,3,4,1.9,2.87,4
"129","I1","19/12/01","Fiorentina","Juventus",1,1,"D",0,0,"D",3.95,3.1,1.85,3.6,3.1,1.85,3.75,3,1.91,4,3.1,1.85,3.75,3,1.91,4,3,1.83
"130","I1","19/12/01","Inter","Verona",3,0,"H",1,0,"H",1.3,4.35,9.3,1.35,4,7,1.33,3.75,9,1.4,3.75,7.5,1.3,4.33,8,1.3,4,9.5
"131","I1","19/12/01","Lecce","Perugia",2,3,"A",2,2,"D",1.88,3,4,1.85,2.9,4,1.91,3,3.75,1.9,2.9,4,1.91,3,3.75,1.9,2.87,4
